,Name,last-zeros,inter_max,nb_peaks,inter_mean,inter_std,inter_rel,mass_center,mass_center_sqr,mass_moment,r_moment,log_total_usage,Label
3455,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27163003/ALLSTREAMS.DST,8,5,13,2.25,1.2332207155790618,0.5480980958129164,57,16368829,236290,48,8.485496104672983,0
3456,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27165100/ALLSTREAMS.DST,3,8,12,3.1818181818181817,2.622219109428356,0.8241260058203405,60,6419409,278649,165,7.430707082545968,0
3457,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27165101/ALLSTREAMS.DST,3,17,8,5.0,5.9521904731427595,1.190438094628552,57,3609702,172887,166,6.948897222313312,0
3458,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27165176/ALLSTREAMS.DST,3,12,12,2.727272727272727,3.277773886785445,1.2018504251546631,59,5214702,88015,61,7.271008538280992,1
3459,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27173002/ALLSTREAMS.DST,13,22,2,22.0,0.0,0.0,61,963407,21872,88,5.5134287461649825,0
3460,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27183001/ALLSTREAMS.DST,5,13,8,3.857142857142857,4.421653583012046,1.1463546326327525,61,6276911,192710,121,7.371489295214277,0
3461,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27462411/ALLSTREAMS.DST,2,15,4,7.333333333333333,5.792715732327588,0.7899157816810348,64,4851338,92554,80,7.050989447068045,0
3462,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/30000000/ALLSTREAMS.DST,2,7,16,2.4,1.665332799572906,0.6938886664887108,59,25384930,208096,28,8.885025658050846,0
3463,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/32313001/ALLSTREAMS.DST,22,6,4,3.0,2.160246899469287,0.7200822998230957,54,122791,535,13,3.7376696182833684,0
3464,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08a/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/35103100/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,66,230868,0,0,3.9889840465642745,1
