,Name,last-zeros,inter_max,nb_peaks,inter_mean,inter_std,inter_rel,mass_center,mass_center_sqr,mass_moment,r_moment,log_total_usage,Label,Target
1718,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12145070/ALLSTREAMS.DST,12,2,2,2.0,0.0,0.0,93,1323076,151,1,5.0238805208462765,0,1.1538461538461537
1719,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163001/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,547757,51,0,4.23410650459726,1,0.0
1720,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163011/ALLSTREAMS.DST,13,6,4,3.3333333333333335,2.0548046676563256,0.6164414002968976,88,1958803,2211,8,5.53338948872752,1,0.0
1721,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163230/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,596178,56,0,4.31748811353631,1,0.0
1722,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163231/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,547757,51,0,4.23410650459726,1,0.0
1723,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163291/ALLSTREAMS.DST,27,0,1,0.0,0.0,0.0,79,149784,0,0,3.2188758248682006,1,0.0
1724,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163292/ALLSTREAMS.DST,27,0,1,0.0,0.0,0.0,79,162266,0,0,3.295836866004329,1,0.0
1725,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163422/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,160816,0,0,2.995732273553991,0,0.7307692307692307
1726,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163430/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,450557,39,0,4.04305126783455,1,0.0
1727,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163432/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,579978,54,0,4.290459441148391,1,0.0
